2020-06-22T11:42:06.279Z  	server listening 
2020-06-22T11:42:39.929Z  	Database has been connected
2020-06-22T11:42:39.933Z  	server listening 
2020-06-22T11:42:40.228Z  	Mqtt broker connected
2020-06-22T11:43:14.331Z  	Database has been connected
2020-06-22T11:43:14.334Z  	server listening 
2020-06-22T11:43:14.630Z  	Mqtt broker connected
2020-06-23T04:22:12.833Z  	Database has been connected
2020-06-23T04:22:12.837Z  	server listening 
2020-06-23T04:22:13.269Z  	Mqtt broker connected
2020-06-23T04:22:49.348Z  	Database has been connected
2020-06-23T04:22:49.351Z  	server listening 
2020-06-23T04:22:50.204Z  	Mqtt broker connected
2020-06-23T04:23:39.296Z  	Listening for messages
2020-06-23T04:27:35.734Z  	Database has been connected
2020-06-23T04:27:36.034Z  	Mqtt broker connected
2020-06-23T04:28:25.681Z  	Listening for messages
2020-06-23T04:31:47.625Z  	Database has been connected
2020-06-23T04:31:47.908Z  	Mqtt broker connected
2020-06-23T04:32:24.096Z  	Database has been connected
2020-06-23T04:32:24.402Z  	Mqtt broker connected
2020-06-23T04:33:14.045Z  	Listening for messages
2020-06-23T04:34:04.044Z  	Listening for messages
2020-06-23T04:36:43.578Z  	Database has been connected
2020-06-23T04:36:43.885Z  	Mqtt broker connected
2020-06-23T04:43:24.953Z  	Database has been connected
2020-06-23T04:43:25.227Z  	Mqtt broker connected
2020-06-23T04:51:17.345Z  	Database has been connected
2020-06-23T04:51:17.765Z  	Mqtt broker connected
2020-06-23T04:53:41.746Z  	Database has been connected
2020-06-23T04:53:42.024Z  	Mqtt broker connected
2020-06-23T04:56:41.244Z  	Database has been connected
2020-06-23T04:56:41.527Z  	Mqtt broker connected
2020-06-23T06:49:31.793Z  	Database has been connected
2020-06-23T06:49:32.556Z  	Mqtt broker connected
2020-06-23T06:50:21.735Z  	Listening for messages
2020-06-23T06:50:51.379Z  	Database has been connected
2020-06-23T06:50:51.657Z  	Mqtt broker connected
2020-06-23T06:51:00.861Z  	Database has been connected
2020-06-23T06:51:01.119Z  	Mqtt broker connected
2020-06-23T06:51:12.216Z  	Database has been connected
2020-06-23T06:51:12.470Z  	Mqtt broker connected
2020-06-23T06:51:23.249Z  	Database has been connected
2020-06-23T06:51:23.528Z  	Mqtt broker connected
2020-06-23T06:52:13.191Z  	Listening for messages
2020-06-23T06:53:03.190Z  	Listening for messages
2020-06-23T06:53:53.191Z  	Listening for messages
2020-06-23T06:54:43.191Z  	Listening for messages
2020-06-23T06:55:33.191Z  	Listening for messages
2020-06-23T06:55:48.484Z  	Database has been connected
2020-06-23T06:55:48.769Z  	Mqtt broker connected
2020-06-23T06:55:49.917Z  	Database has been connected
2020-06-23T06:55:50.202Z  	Mqtt broker connected
2020-06-23T06:55:53.033Z  	Database has been connected
2020-06-23T06:55:53.304Z  	Mqtt broker connected
2020-06-23T06:55:56.067Z  	Database has been connected
2020-06-23T06:55:56.342Z  	Mqtt broker connected
2020-06-23T06:55:57.869Z  	Database has been connected
2020-06-23T06:55:58.139Z  	Mqtt broker connected
2020-06-23T06:56:15.681Z  	Database has been connected
2020-06-23T06:56:15.971Z  	Mqtt broker connected
2020-06-23T06:57:05.623Z  	Listening for messages
2020-06-23T06:57:31.877Z  	Database has been connected
2020-06-23T06:57:32.144Z  	Mqtt broker connected
2020-06-23T06:58:08.661Z  	Database has been connected
2020-06-23T06:58:08.941Z  	Mqtt broker connected
2020-06-23T06:58:58.602Z  	Listening for messages
2020-06-23T06:59:48.602Z  	Listening for messages
2020-06-23T07:00:38.602Z  	Listening for messages
2020-06-23T07:01:28.602Z  	Listening for messages
2020-06-23T07:02:18.602Z  	Listening for messages
2020-06-23T07:03:08.603Z  	Listening for messages
2020-06-23T07:03:58.602Z  	Listening for messages
2020-06-23T07:04:48.603Z  	Listening for messages
2020-06-23T07:05:38.603Z  	Listening for messages
2020-06-23T07:06:28.604Z  	Listening for messages
2020-06-23T07:07:18.604Z  	Listening for messages
2020-06-23T07:07:45.959Z  	Database has been connected
2020-06-23T07:07:46.245Z  	Mqtt broker connected
2020-06-23T07:07:52.577Z  	Database has been connected
2020-06-23T07:07:52.845Z  	Mqtt broker connected
2020-06-23T07:07:54.212Z  	Database has been connected
2020-06-23T07:07:54.493Z  	Mqtt broker connected
2020-06-23T07:07:55.363Z  	Database has been connected
2020-06-23T07:07:55.679Z  	Mqtt broker connected
2020-06-23T07:07:58.699Z  	Database has been connected
2020-06-23T07:07:58.976Z  	Mqtt broker connected
2020-06-23T07:08:04.308Z  	Database has been connected
2020-06-23T07:08:04.588Z  	Mqtt broker connected
2020-06-23T07:08:05.882Z  	Database has been connected
2020-06-23T07:08:06.170Z  	Mqtt broker connected
2020-06-23T07:08:55.825Z  	Listening for messages
2020-06-23T07:09:45.825Z  	Listening for messages
2020-06-23T07:10:35.826Z  	Listening for messages
2020-06-23T07:11:25.826Z  	Listening for messages
2020-06-23T07:12:15.826Z  	Listening for messages
2020-06-23T07:13:05.827Z  	Listening for messages
2020-06-23T07:13:55.826Z  	Listening for messages
2020-06-23T07:13:58.759Z  	Database has been connected
2020-06-23T07:13:59.050Z  	Mqtt broker connected
2020-06-23T07:14:01.230Z  	Database has been connected
2020-06-23T07:14:01.522Z  	Mqtt broker connected
2020-06-23T07:14:03.775Z  	Database has been connected
2020-06-23T07:14:04.077Z  	Mqtt broker connected
2020-06-23T07:14:51.836Z  	SIGINT signal received.
2020-06-23T07:15:33.055Z  	Database has been connected
2020-06-23T07:15:33.326Z  	Mqtt broker connected
2020-06-23T07:15:50.466Z  	SIGINT signal received.
2020-06-23T07:15:50.472Z  	Mongoose connection disconnected
2020-06-23T07:15:54.783Z  	Database has been connected
2020-06-23T07:15:54.789Z  	Listening for messages
2020-06-23T07:15:54.789Z  	Data 1
2020-06-23T07:15:55.052Z  	Mqtt broker connected
2020-06-23T07:16:44.725Z  	Listening for messages
2020-06-23T07:16:47.657Z  	SIGINT signal received.
2020-06-23T07:16:47.663Z  	Mongoose connection disconnected
2020-06-23T07:16:51.634Z  	Database has been connected
2020-06-23T07:16:51.641Z  	Listening for messages
2020-06-23T07:16:51.641Z  	Data 1
2020-06-23T07:16:51.663Z  	Data Saved on retry 1
2020-06-23T07:16:51.663Z  	Data 2
2020-06-23T07:16:51.665Z  	Data Saved on retry 2
2020-06-23T07:16:51.665Z  	Data 4
2020-06-23T07:16:51.667Z  	Data Saved on retry 4
2020-06-23T07:16:51.914Z  	Mqtt broker connected
2020-06-23T07:17:28.936Z  	SIGINT signal received.
2020-06-23T07:17:32.611Z  	Database has been connected
2020-06-23T07:17:32.619Z  	Listening for messages
2020-06-23T07:17:32.620Z  	Data 1
2020-06-23T07:17:32.633Z  	Listening for messages
2020-06-23T07:17:32.642Z  	Data Saved on retry 1
2020-06-23T07:17:32.643Z  	Data 2
2020-06-23T07:17:32.645Z  	Data Saved on retry 2
2020-06-23T07:17:32.645Z  	Data 4
2020-06-23T07:17:32.647Z  	Data Saved on retry 4
2020-06-23T07:17:32.884Z  	Mqtt broker connected
2020-06-23T07:18:22.551Z  	Listening for messages
2020-06-23T07:19:12.551Z  	Listening for messages
2020-06-23T07:20:02.552Z  	Listening for messages
2020-06-23T07:20:05.177Z  	SIGINT signal received.
2020-06-23T07:20:08.836Z  	Database has been connected
2020-06-23T07:20:08.842Z  	Listening for messages
2020-06-23T07:20:08.842Z  	Data 1
2020-06-23T07:20:08.856Z  	Listening for messages
2020-06-23T07:20:08.856Z  	Data 3
2020-06-23T07:20:08.869Z  	Data Saved on retry 3
2020-06-23T07:20:08.869Z  	Data 2
2020-06-23T07:20:08.872Z  	Data Saved on retry 2
2020-06-23T07:20:08.872Z  	Data 2
2020-06-23T07:20:08.884Z  	Data Saved on retry 2
2020-06-23T07:20:08.884Z  	Data 4
2020-06-23T07:20:08.886Z  	Data Saved on retry 4
2020-06-23T07:20:08.887Z  	Data Saved on retry 4
2020-06-23T07:20:09.116Z  	Mqtt broker connected
2020-06-23T07:20:29.404Z  	SIGINT signal received.
2020-06-23T07:20:29.414Z  	Mongoose connection disconnected
2020-06-23T07:20:32.837Z  	Database has been connected
2020-06-23T07:20:32.843Z  	Listening for messages
2020-06-23T07:20:32.844Z  	Data 1
2020-06-23T07:20:32.858Z  	Listening for messages
2020-06-23T07:20:32.858Z  	Data 3
2020-06-23T07:20:32.870Z  	Data Saved on retry 3
2020-06-23T07:20:32.871Z  	Data 2
2020-06-23T07:20:32.873Z  	Data Saved on retry 2
2020-06-23T07:20:32.873Z  	Data 2
2020-06-23T07:20:32.885Z  	Data Saved on retry 2
2020-06-23T07:20:32.885Z  	Data 4
2020-06-23T07:20:32.892Z  	Data Saved on retry 4
2020-06-23T07:20:32.892Z  	Data Saved on retry 4
2020-06-23T07:20:33.110Z  	Mqtt broker connected
2020-06-23T07:21:22.778Z  	Listening for messages
2020-06-23T07:22:12.778Z  	Listening for messages
2020-06-23T07:23:02.777Z  	Listening for messages
2020-06-23T07:23:52.779Z  	Listening for messages
2020-06-23T07:24:42.778Z  	Listening for messages
2020-06-23T07:25:32.779Z  	Listening for messages
2020-06-23T07:26:22.780Z  	Listening for messages
2020-06-23T07:27:12.781Z  	Listening for messages
2020-06-23T07:28:02.781Z  	Listening for messages
2020-06-23T07:28:52.781Z  	Listening for messages
2020-06-23T07:29:42.782Z  	Listening for messages
2020-06-23T07:30:32.782Z  	Listening for messages
2020-06-23T07:31:22.782Z  	Listening for messages
2020-06-23T07:32:12.783Z  	Listening for messages
2020-06-23T07:33:02.784Z  	Listening for messages
2020-06-23T07:33:25.062Z  	SIGINT signal received.
2020-06-23T07:33:25.069Z  	Mongoose connection disconnected
2020-06-23T07:33:29.028Z  	Database has been connected
2020-06-23T07:33:29.036Z  	Listening for messages
2020-06-23T07:33:29.036Z  	Data 1
2020-06-23T07:33:29.050Z  	Listening for messages
2020-06-23T07:33:29.050Z  	Data 3
2020-06-23T07:33:29.060Z  	Data Saved on retry 3
2020-06-23T07:33:29.060Z  	Data 2
2020-06-23T07:33:29.063Z  	Data Saved on retry 2
2020-06-23T07:33:29.063Z  	Data 2
2020-06-23T07:33:29.071Z  	Data Saved on retry 2
2020-06-23T07:33:29.071Z  	Data 4
2020-06-23T07:33:29.073Z  	Data Saved on retry 4
2020-06-23T07:33:29.074Z  	Data Saved on retry 4
2020-06-23T07:33:29.306Z  	Mqtt broker connected
2020-06-23T07:34:18.970Z  	Listening for messages
2020-06-23T07:35:08.971Z  	Listening for messages
2020-06-23T07:35:50.068Z  	SIGINT signal received.
2020-06-23T07:35:50.080Z  	Mongoose connection disconnected
2020-06-23T07:35:53.496Z  	Database has been connected
2020-06-23T07:35:53.502Z  	Listening for messages
2020-06-23T07:35:53.502Z  	Data 1
2020-06-23T07:35:53.523Z  	Listening for messages
2020-06-23T07:35:53.523Z  	Data 3
2020-06-23T07:35:53.535Z  	Data Saved on retry 3
2020-06-23T07:35:53.536Z  	Data 2
2020-06-23T07:35:53.538Z  	Data Saved on retry 2
2020-06-23T07:35:53.538Z  	Data 2
2020-06-23T07:35:53.549Z  	Data Saved on retry 2
2020-06-23T07:35:53.549Z  	Data 4
2020-06-23T07:35:53.551Z  	Data Saved on retry 4
2020-06-23T07:35:53.552Z  	Data Saved on retry 4
2020-06-23T07:35:53.838Z  	Mqtt broker connected
2020-06-23T07:36:03.629Z  	SIGINT signal received.
2020-06-23T07:36:03.634Z  	Mongoose connection disconnected
2020-06-23T07:36:08.509Z  	Database has been connected
2020-06-23T07:36:08.515Z  	Listening for messages
2020-06-23T07:36:08.515Z  	Data 1
2020-06-23T07:36:08.529Z  	Listening for messages
2020-06-23T07:36:08.529Z  	Data 3
2020-06-23T07:36:08.539Z  	Data Saved on retry 3
2020-06-23T07:36:08.539Z  	Data 2
2020-06-23T07:36:08.541Z  	Data Saved on retry 2
2020-06-23T07:36:08.541Z  	Data 2
2020-06-23T07:36:08.549Z  	Data Saved on retry 2
2020-06-23T07:36:08.549Z  	Data 4
2020-06-23T07:36:08.551Z  	Data Saved on retry 4
2020-06-23T07:36:08.551Z  	Data Saved on retry 4
2020-06-23T07:36:08.769Z  	Mqtt broker connected
2020-06-23T07:36:30.785Z  	SIGINT signal received.
2020-06-23T07:36:30.796Z  	Mongoose connection disconnected
2020-06-23T07:36:34.423Z  	Database has been connected
2020-06-23T07:36:34.433Z  	Listening for messages
2020-06-23T07:36:34.434Z  	Data 1
2020-06-23T07:36:34.448Z  	Listening for messages
2020-06-23T07:36:34.458Z  	Data Saved on retry 1
2020-06-23T07:36:34.459Z  	Data 2
2020-06-23T07:36:34.461Z  	Data Saved on retry 2
2020-06-23T07:36:34.461Z  	Data 4
2020-06-23T07:36:34.463Z  	Data Saved on retry 4
2020-06-23T07:36:34.709Z  	Mqtt broker connected
2020-06-23T07:36:52.436Z  	SIGINT signal received.
2020-06-23T07:36:56.362Z  	Database has been connected
2020-06-23T07:36:56.368Z  	Listening for messages
2020-06-23T07:36:56.369Z  	Data 1
2020-06-23T07:36:56.383Z  	Listening for messages
2020-06-23T07:36:56.389Z  	Data Saved on retry 1
2020-06-23T07:36:56.389Z  	Data 2
2020-06-23T07:36:56.391Z  	Data Saved on retry 2
2020-06-23T07:36:56.391Z  	Data 4
2020-06-23T07:36:56.393Z  	Data Saved on retry 4
2020-06-23T07:36:56.655Z  	Mqtt broker connected
2020-06-23T07:37:46.302Z  	Listening for messages
2020-06-23T07:38:36.302Z  	Listening for messages
2020-06-23T07:39:26.303Z  	Listening for messages
2020-06-23T07:40:16.304Z  	Listening for messages
2020-06-23T07:41:06.305Z  	Listening for messages
2020-06-23T07:41:56.305Z  	Listening for messages
2020-06-23T07:42:15.127Z  	SIGINT signal received.
2020-06-23T07:42:19.079Z  	Database has been connected
2020-06-23T07:42:19.085Z  	Listening for messages
2020-06-23T07:42:19.085Z  	Data 1
2020-06-23T07:42:19.099Z  	Listening for messages
2020-06-23T07:42:19.102Z  	Listening for messages
2020-06-23T07:42:19.102Z  	Data 1
2020-06-23T07:42:19.110Z  	Data Saved on retry 1
2020-06-23T07:42:19.110Z  	Data 2
2020-06-23T07:42:19.113Z  	Data Saved on retry 2
2020-06-23T07:42:19.113Z  	Data 2
2020-06-23T07:42:19.115Z  	Data Saved on retry 2
2020-06-23T07:42:19.115Z  	Data 4
2020-06-23T07:42:19.117Z  	Listening for messages
2020-06-23T07:42:19.119Z  	Data Saved on retry 4
2020-06-23T07:42:19.119Z  	Data 3
2020-06-23T07:42:19.121Z  	Data Saved on retry 3
2020-06-23T07:42:19.121Z  	Data Saved on retry 3
2020-06-23T07:42:19.121Z  	Data 4
2020-06-23T07:42:19.125Z  	Data Saved on retry 4
2020-06-23T07:42:19.125Z  	Data 6
2020-06-23T07:42:19.129Z  	Data Saved on retry 6
2020-06-23T07:42:19.343Z  	Mqtt broker connected
2020-06-23T07:42:48.579Z  	SIGINT signal received.
2020-06-23T07:42:48.590Z  	Mongoose connection disconnected
2020-06-23T07:42:53.182Z  	Database has been connected
2020-06-23T07:42:53.188Z  	Listening for messages
2020-06-23T07:42:53.188Z  	Data 1
2020-06-23T07:42:53.202Z  	Listening for messages
2020-06-23T07:42:53.207Z  	Listening for messages
2020-06-23T07:42:53.207Z  	Data 1
2020-06-23T07:42:53.214Z  	Data Saved on retry 1
2020-06-23T07:42:53.214Z  	Data 2
2020-06-23T07:42:53.217Z  	Data Saved on retry 2
2020-06-23T07:42:53.217Z  	Data 2
2020-06-23T07:42:53.219Z  	Data Saved on retry 2
2020-06-23T07:42:53.219Z  	Data 4
2020-06-23T07:42:53.222Z  	Listening for messages
2020-06-23T07:42:53.225Z  	Data Saved on retry 4
2020-06-23T07:42:53.225Z  	Data 3
2020-06-23T07:42:53.227Z  	Data Saved on retry 3
2020-06-23T07:42:53.228Z  	Data Saved on retry 3
2020-06-23T07:42:53.228Z  	Data 4
2020-06-23T07:42:53.230Z  	Data Saved on retry 4
2020-06-23T07:42:53.230Z  	Data 6
2020-06-23T07:42:53.231Z  	Data Saved on retry 6
2020-06-23T07:42:53.566Z  	Mqtt broker connected
2020-06-23T07:43:20.710Z  	SIGINT signal received.
2020-06-23T07:43:20.722Z  	Mongoose connection disconnected
2020-06-23T07:43:28.709Z  	Database has been connected
2020-06-23T07:43:28.714Z  	Listening for messages
2020-06-23T07:43:28.715Z  	Data 1
2020-06-23T07:43:28.728Z  	Listening for messages
2020-06-23T07:43:28.732Z  	Listening for messages
2020-06-23T07:43:28.732Z  	Data 1
2020-06-23T07:43:28.736Z  	Data Saved on retry 1
2020-06-23T07:43:28.736Z  	Data 2
2020-06-23T07:43:28.739Z  	Data Saved on retry 2
2020-06-23T07:43:28.739Z  	Data 2
2020-06-23T07:43:28.742Z  	Data Saved on retry 2
2020-06-23T07:43:28.742Z  	Data 4
2020-06-23T07:43:28.744Z  	Listening for messages
2020-06-23T07:43:28.745Z  	Data Saved on retry 4
2020-06-23T07:43:28.745Z  	Data 3
